src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000901,0b00cb01,10000,100,442518303,45,566040088,566040133,37112977,566040133
0b000701,0b00cb01,10000,100,441910758,34,566376064,566376098,37062038,566376098
0b000d01,0b00cb01,10000,100,442579512,59,567945318,567945377,37118108,567945377
0b000b01,0b00cb01,10000,100,442850231,49,588698309,588698358,37140806,588698358
0b000601,0b00cb01,10000,100,442572752,33,588950127,588950160,37117540,588950160
0b000f01,0b00cb01,10000,100,443033490,70,591198041,591198111,37156169,591198111
0b000801,0b00cb01,10000,100,442299518,42,591245009,591245051,37094633,591245051
0b000c01,0b00cb01,10000,100,442496649,55,591964617,591964672,37111160,591964672
0b000e01,0b00cb01,10000,100,442791930,69,592168545,592168614,37135915,592168614
0b000a01,0b00cb01,10000,100,442825002,48,594186740,594186788,37138692,594186788
0b000001,0b00cb01,10000,100,441813827,0,596174120,596174120,37053911,596174120
0b000401,0b00cb01,10000,100,441610566,12,601961524,601961536,37036871,601961536
0b000101,0b00cb01,10000,100,442369121,1,602205084,602205085,37100470,602205085
0b000201,0b00cb01,10000,100,442727168,6,605154218,605154224,37130488,605154224
0b000501,0b00cb01,10000,100,442429273,23,609896370,609896393,37105513,609896393
0b000301,0b00cb01,10000,100,443686486,6,611299824,611299830,37210916,611299830
