src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000301,0b00cb01,10000,100,441610566,17,563277095,563277112,37036871,563277112
0b000501,0b00cb01,10000,100,442791930,27,581712067,581712094,37135915,581712094
0b000701,0b00cb01,10000,100,442850231,43,581883345,581883388,37140806,581883388
0b000601,0b00cb01,10000,100,442429273,32,583378667,583378699,37105513,583378699
0b000c01,0b00cb01,10000,100,443033490,82,585087981,585088063,37156169,585088063
0b000b01,0b00cb01,10000,100,442369121,69,586802102,586802171,37100470,586802171
0b000f01,0b00cb01,10000,100,442727168,99,588389411,588389510,37130488,588389510
0b000a01,0b00cb01,10000,100,442496649,66,588468100,588468166,37111160,588468166
0b000401,0b00cb01,10000,100,442579512,23,589263734,589263757,37118108,589263757
0b000e01,0b00cb01,10000,100,442518303,96,589679602,589679698,37112977,589679698
0b000201,0b00cb01,10000,100,441910758,14,590181638,590181652,37062038,590181652
0b000101,0b00cb01,10000,100,442825002,13,592381323,592381336,37138692,592381336
0b000001,0b00cb01,10000,100,442299518,2,592644405,592644407,37094633,592644407
0b000d01,0b00cb01,10000,100,442572752,93,592868228,592868321,37117540,592868321
0b000901,0b00cb01,10000,100,441813827,59,593318900,593318959,37053911,593318959
0b000801,0b00cb01,10000,100,443686486,50,594436670,594436720,37210916,594436720
