src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000a01,0b00cb01,10000,100,442429273,57,621719611,621719668,37105513,621719668
0b000201,0b00cb01,10000,100,443033490,23,621869128,621869151,37156169,621869151
0b000101,0b00cb01,10000,100,442579512,16,622438230,622438246,37118108,622438246
0b000301,0b00cb01,10000,100,441910758,30,622553888,622553918,37062038,622553918
0b000601,0b00cb01,10000,100,442496649,39,622854469,622854508,37111160,622854508
0b000701,0b00cb01,10000,100,441813827,40,623214843,623214883,37053911,623214883
0b000801,0b00cb01,10000,100,442572752,43,623290219,623290262,37117540,623290262
0b000501,0b00cb01,10000,100,442369121,36,623618563,623618599,37100470,623618599
0b000e01,0b00cb01,10000,100,442299518,96,623630742,623630838,37094633,623630838
0b000401,0b00cb01,10000,100,441610566,31,623784985,623785016,37036871,623785016
0b000b01,0b00cb01,10000,100,442518303,58,623971750,623971808,37112977,623971808
0b000c01,0b00cb01,10000,100,442850231,85,624010008,624010093,37140806,624010093
0b000d01,0b00cb01,10000,100,442727168,86,624182102,624182188,37130488,624182188
0b000f01,0b00cb01,10000,100,443686486,99,624245269,624245368,37210916,624245368
0b000001,0b00cb01,10000,100,442791930,11,624430758,624430769,37135915,624430769
0b000901,0b00cb01,10000,100,442825002,51,624537349,624537400,37138692,624537400
